"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.5656e+06,1,9.44e-08,9.44e-08,0,0
7.5552e+06,1,9.46e-08,9.46e-08,0,0
7.5448e+06,1,9.48e-08,9.48e-08,0,0
7.5345e+06,1,9.5e-08,9.5e-08,0,0
7.5242e+06,1,9.52e-08,9.52e-08,0,0
7.5139e+06,1,9.54e-08,9.54e-08,0,0
7.5036e+06,1,9.56e-08,9.56e-08,0,0
7.4933e+06,1,9.58e-08,9.58e-08,0,0
7.4831e+06,1,9.6e-08,9.6e-08,0,0
7.4729e+06,1,9.62e-08,9.62e-08,0,0
7.4627e+06,1,9.64e-08,9.64e-08,0,0
7.4524e+06,1,9.66e-08,9.66e-08,0,0
7.4423e+06,1,9.68e-08,9.68e-08,0,0
7.4321e+06,1,9.7e-08,9.7e-08,0,0
7.422e+06,1,9.72e-08,9.72e-08,0,0
7.4119e+06,1,9.74e-08,9.74e-08,0,0
7.4018e+06,1,9.76e-08,9.76e-08,0,0
7.3917e+06,1,9.78e-08,9.78e-08,0,0
7.3816e+06,1,9.8e-08,9.8e-08,0,0
7.3716e+06,1,9.82e-08,9.82e-08,0,0
7.3616e+06,1,9.84e-08,9.84e-08,0,0
7.3515e+06,1,9.86e-08,9.86e-08,0,0
7.3415e+06,1,9.88e-08,9.88e-08,0,0
7.3316e+06,1,9.9e-08,9.9e-08,0,0
